stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
361,50357,SB ALMA ST NS W 10 AVE,ALMA ST @ W 10 AVE,49.263670,-123.186028,ZN 99, ,0,
11066,51906,EB NW MARINE DR FS TOLMIE ST,NW MARINE DR @ TOLMIE ST,49.274742,-123.211352,ZN 99, ,0,
11068,61133,SB NW MARINE DR FS BELMONT AVE,TRIMBLE ST @ BELMONT AVE,49.273327,-123.205803,ZN 99, ,0,
11054,51910,EB NW MARINE DR NS DISCOVERY ST,NW MARINE DR @ DISCOVERY ST,49.271953,-123.203426,ZN 99, ,0,
11056,51912,EB NW MARINE DR FS LOCARNO CRES,NW MARINE DR @ LOCARNO CRES,49.268799,-123.200827,ZN 99, ,0,
11071,61138,WB NW MARINE DR FS W 4 AVE,NW MARINE DR @ W 4 AVE,49.268938,-123.200648,ZN 99, ,0,
675,50668,NB ALMA ST FS W 7 AVE,ALMA ST @ W 7 AVE,49.266385,-123.185659,ZN 99, ,0,
597,50591,WB W 4 AVE FS WALLACE ST,W 4 AVE @ WALLACE ST,49.268794,-123.191056,ZN 99, ,0,
598,50592,WB W 4 AVE AT 4000 BLOCK,W 4 AVE @ 4000 BLOCK,49.268843,-123.194068,ZN 99, ,0,
599,50593,WB W 4 AVE AT 4100 BLOCK,W 4 AVE @ 4100 BLOCK,49.268917,-123.197836,ZN 99, ,0,
596,50590,WB W 4 AVE FS ALMA ST,W 4 AVE @ ALMA ST,49.268710,-123.186254,ZN 99, ,0,
11053,51934,WB NW MARINE DR FS DISCOVERY ST,NW MARINE DR @ DISCOVERY ST,49.271904,-123.203022,ZN 99, ,0,
11065,51935,NB NW MARINE DR FS BELMONT AVE,NW MARINE DR @ BELMONT AVE,49.274065,-123.205593,ZN 99, ,0,
11055,51937,WB NW MARINE DR FS SASAMAT ST,NW MARINE DR @ SASAMAT ST,49.274502,-123.209135,ZN 99, ,0,
